name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola vulgatus	821	S	2097706	925289	3022995	0.25907
Phocaeicola coprophilus	387090	S	736439	172446	908885	0.07789
Phocaeicola dorei	357276	S	90211	40921	131132	0.01124
Phocaeicola salanitronis	376805	S	19009	1110	20119	0.00172
Bacteroides caccae	47678	S	487869	87442	575311	0.04930
Bacteroides stercoris	46506	S	357048	107195	464243	0.03979
Bacteroides uniformis	820	S	272302	272348	544650	0.04668
Bacteroides thetaiotaomicron	818	S	163883	34668	198551	0.01702
Bacteroides ovatus	28116	S	145863	396739	542602	0.04650
Bacteroides fragilis	817	S	33955	46384	80339	0.00689
Bacteroides sp. D2	556259	S	9267	15356	24623	0.00211
Bacteroides sp. M10	2763022	S	5241	5386	10627	0.00091
Bacteroides sp. DH3716P	2847299	S	4710	52394	57104	0.00489
Bacteroides sp. A1C1	2528203	S	3704	24043	27747	0.00238
Bacteroides sp. CACC 737	2755405	S	2175	11022	13197	0.00113
Bacteroides sp. MSB163	3117552	S	1312	572	1884	0.00016
Bacteroides sp. HF-162	2785531	S	631	6236	6867	0.00059
Bacteroides sp. ZJ-18	2709390	S	51	381	432	0.00004
Bacteroides xylanisolvens	371601	S	28216	46854	75070	0.00643
Bacteroides faecis	674529	S	23331	7567	30898	0.00265
Bacteroides salyersiae	291644	S	7739	825	8564	0.00073
Bacteroides faecium	2715212	S	6725	443	7168	0.00061
Bacteroides intestinalis	329854	S	5832	888	6720	0.00058
Bacteroides zhangwenhongii	2650157	S	5621	5248	10869	0.00093
Bacteroides eggerthii	28111	S	4774	1245	6019	0.00052
Bacteroides nordii	291645	S	4119	289	4408	0.00038
Bacteroides cellulosilyticus	246787	S	2986	2003	4989	0.00043
Bacteroides finegoldii	338188	S	2956	2134	5090	0.00044
Bacteroides luhongzhouii	2650158	S	2784	977	3761	0.00032
Bacteroides caecimuris	1796613	S	2323	1041	3364	0.00029
Bacteroides humanifaecis	2792859	S	1588	13447	15035	0.00129
Bacteroides helcogenes	290053	S	1456	43	1499	0.00013
Bacteroides zoogleoformans	28119	S	1426	280	1706	0.00015
Bacteroides graminisolvens	477666	S	1353	14	1367	0.00012
Bacteroides sedimenti	2136147	S	1088	16	1104	0.00009
Bacteroides heparinolyticus	28113	S	1010	167	1177	0.00010
uncultured Bacteroides sp.	162156	S	995	15	1010	0.00009
Parabacteroides distasonis	823	S	451269	312817	764086	0.06548
Parabacteroides merdae	46503	S	176626	41638	218264	0.01871
Parabacteroides chongii	2685834	S	16519	1303	17822	0.00153
Parabacteroides sp. AD58	2951805	S	5243	475	5718	0.00049
Parabacteroides sp. CT06	2025876	S	788	14916	15704	0.00135
Parabacteroides goldsteinii	328812	S	3701	345	4046	0.00035
Parabacteroides johnsonii	387661	S	3620	451	4071	0.00035
Parabacteroides faecis	1217282	S	642	44	686	0.00006
Tannerella forsythia	28112	S	495	98	593	0.00005
Tannerella serpentiformis	712710	S	20	0	20	0.00000
Paraprevotella clara	454154	S	226819	33171	259990	0.02228
Paraprevotella xylaniphila	454155	S	27370	5636	33006	0.00283
Segatella copri	165179	S	43938	6470	50408	0.00432
Segatella hominis	2518605	S	1862	805	2667	0.00023
Segatella bryantii	77095	S	265	1566	1831	0.00016
Segatella oris	28135	S	98	7	105	0.00001
Prevotella intermedia	28131	S	2195	939	3134	0.00027
Prevotella sp. oral taxon 475	712471	S	549	29	578	0.00005
Prevotella sp. E13-17	2913616	S	447	30	477	0.00004
Prevotella sp. E2-28	2913620	S	271	20	291	0.00002
Prevotella sp. E15-22	2937774	S	160	15	175	0.00001
Prevotella sp. Rep29	2691580	S	150	5	155	0.00001
Prevotella sp. E9-3	2913621	S	102	7	109	0.00001
Prevotella sp. oral taxon 299	652716	S	79	9	88	0.00001
Prevotella melaninogenica	28132	S	871	365	1236	0.00011
Prevotella jejuni	1177574	S	589	314	903	0.00008
Prevotella denticola	28129	S	390	181	571	0.00005
Prevotella herbatica	2801997	S	368	4	372	0.00003
Prevotella fusca	589436	S	254	76	330	0.00003
Prevotella scopos	589437	S	246	172	418	0.00004
Prevotella dentalis	52227	S	69	9	78	0.00001
Prevotella communis	2913614	S	66	5	71	0.00001
Prevotella histicola	470565	S	62	10	72	0.00001
Prevotella corporis	28128	S	55	8	63	0.00001
Prevotella nigrescens	28133	S	46	94	140	0.00001
Prevotella bivia	28125	S	22	2	24	0.00000
Prevotella multiformis	282402	S	18	11	29	0.00000
Xylanibacter ruminicola	839	S	748	15	763	0.00007
Hoylesella enoeca	76123	S	344	41	385	0.00003
Hoylesella buccalis	28127	S	223	26	249	0.00002
Pseudoprevotella muciniphila	2133944	S	47	0	47	0.00000
Coprobacter fastidiosus	1099853	S	50267	1274	51541	0.00442
Coprobacter secundus	1501392	S	13332	1488	14820	0.00127
Barnesiella sp. An22	1965590	S	3739	395	4134	0.00035
Barnesiella viscericola	397865	S	3193	471	3664	0.00031
Alistipes shahii	328814	S	42528	22839	65367	0.00560
Alistipes onderdonkii	328813	S	2259	361	2620	0.00022
Alistipes finegoldii	214856	S	1816	638	2454	0.00021
uncultured Alistipes sp.	538949	S	1634	121	1755	0.00015
Alistipes indistinctus	626932	S	1581	83	1664	0.00014
Alistipes megaguti	2364787	S	920	103	1023	0.00009
Alistipes senegalensis	1288121	S	841	102	943	0.00008
Alistipes communis	2585118	S	834	81	915	0.00008
Alistipes sp. i18-0019-D1	3132707	S	309	80	389	0.00003
Alistipes sp. dk3624	2662363	S	55	2	57	0.00000
Alistipes ihumii	1470347	S	62	1	63	0.00001
Alistipes dispar	2585119	S	52	5	57	0.00000
uncultured Acetobacteroides sp.	1760811	S	313	2	315	0.00003
Butyricimonas paravirosa	1472417	S	1287	406	1693	0.00015
Butyricimonas faecalis	2093856	S	155	47	202	0.00002
Butyricimonas faecihominis	1472416	S	126	31	157	0.00001
Butyricimonas virosa	544645	S	43	4	47	0.00000
Odoribacter splanchnicus	28118	S	1398	328	1726	0.00015
Paramuribaculum intestinale	2094151	S	469	53	522	0.00004
Duncaniella dubosii	2518971	S	112	59	171	0.00001
Muribaculum gordoncarteri	2530390	S	241	59	300	0.00003
Muribaculum intestinale	1796646	S	117	12	129	0.00001
Sodaliphilus pleomorphus	2606626	S	197	8	205	0.00002
Proteiniphilum saccharofermentans	1642647	S	374	3	377	0.00003
Proteiniphilum propionicum	2829812	S	51	0	51	0.00000
Dysgonomonas sp. HDW5A	2714926	S	203	3	206	0.00002
Dysgonomonas sp. HDW5B	2714927	S	33	0	33	0.00000
Dysgonomonas capnocytophagoides	45254	S	164	5	169	0.00001
Petrimonas mucosa	1642646	S	154	3	157	0.00001
Porphyromonas sp. oral taxon 275	712435	S	312	5	317	0.00003
Porphyromonas cangingivalis	36874	S	253	6	259	0.00002
Porphyromonas gingivalis	837	S	92	400	492	0.00004
Porphyromonas endodontalis	28124	S	72	4	76	0.00001
Porphyromonas somerae	322095	S	27	1	28	0.00000
Porphyromonas crevioricanis	393921	S	26	0	26	0.00000
Porphyromonas asaccharolytica	28123	S	10	0	10	0.00000
Paludibacter propionicigenes	185300	S	195	1	196	0.00002
Salinivirga cyanobacteriivorans	1307839	S	32	0	32	0.00000
Tenuifilum thalassicum	2590900	S	15	0	15	0.00000
uncultured Draconibacterium sp.	1573823	S	229	16	245	0.00002
Draconibacterium halophilum	2706887	S	19	1	20	0.00000
Aquipluma nitroreducens	2010828	S	165	2	167	0.00001
Mangrovibacterium marinum	1639118	S	99	21	120	0.00001
Maribellus comscasis	2681766	S	16	3	19	0.00000
Labilibaculum sp.	2060723	S	119	1	120	0.00001
Labilibaculum antarcticum	1717717	S	75	1	76	0.00001
Marinifilum fragile	570161	S	151	1	152	0.00001
Xiashengella succiniciproducens	2949635	S	100	2	102	0.00001
Alkalitalea saponilacus	889453	S	26	0	26	0.00000
Flavobacterium psychrophilum	96345	S	262	102	364	0.00003
Flavobacterium sp. KACC 22758	3025667	S	92	465	557	0.00005
