name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Prevotella sp. E13-17	2913616	S	51	7	58	0.00000
Prevotella sp. E2-28	2913620	S	19	2	21	0.00000
Prevotella sp. Rep29	2691580	S	12	0	12	0.00000
Prevotella jejuni	1177574	S	64	22	86	0.00001
Prevotella intermedia	28131	S	41	12	53	0.00000
Prevotella corporis	28128	S	35	5	40	0.00000
Prevotella melaninogenica	28132	S	34	9	43	0.00000
Prevotella denticola	28129	S	27	8	35	0.00000
Prevotella dentalis	52227	S	17	2	19	0.00000
Prevotella bivia	28125	S	14	1	15	0.00000
Prevotella communis	2913614	S	10	0	10	0.00000
Hoylesella enoeca	76123	S	37	8	45	0.00000
Hoylesella buccalis	28127	S	21	2	23	0.00000
Barnesiella sp. An22	1965590	S	2813	525	3338	0.00024
Barnesiella viscericola	397865	S	1183	247	1430	0.00010
Coprobacter secundus	1501392	S	385	59	444	0.00003
Coprobacter fastidiosus	1099853	S	218	12	230	0.00002
Sodaliphilus pleomorphus	2606626	S	407	25	432	0.00003
Muribaculum intestinale	1796646	S	215	128	343	0.00002
Duncaniella dubosii	2518971	S	107	81	188	0.00001
Paramuribaculum intestinale	2094151	S	45	39	84	0.00001
Porphyromonas gingivalis	837	S	71	7	78	0.00001
Porphyromonas endodontalis	28124	S	29	2	31	0.00000
Porphyromonas somerae	322095	S	26	2	28	0.00000
Porphyromonas asaccharolytica	28123	S	17	0	17	0.00000
Porphyromonas sp. oral taxon 275	712435	S	15	0	15	0.00000
Dysgonomonas capnocytophagoides	45254	S	31	3	34	0.00000
Petrimonas mucosa	1642646	S	13	6	19	0.00000
Proteiniphilum saccharofermentans	1642647	S	18	0	18	0.00000
Tenuifilum thalassicum	2590900	S	35	0	35	0.00000
uncultured Draconibacterium sp.	1573823	S	95	3	98	0.00001
Draconibacterium orientale	1168034	S	10	0	10	0.00000
Mangrovibacterium marinum	1639118	S	50	0	50	0.00000
Aquipluma nitroreducens	2010828	S	16	0	16	0.00000
Flavobacterium sp. N2820	2986834	S	12	26	38	0.00000
Flavobacterium psychrophilum	96345	S	34	25	59	0.00000
Flavobacterium album	2175091	S	32	4	36	0.00000
Flavobacterium psychrotrophum	2294119	S	14	1	15	0.00000
Flavobacterium commune	1306519	S	12	15	27	0.00000
Flavobacterium indicum	312277	S	11	6	17	0.00000
Flavobacterium sediminis	2201181	S	10	12	22	0.00000
Capnocytophaga canimorsus	28188	S	79	38	117	0.00001
Capnocytophaga haemolytica	45243	S	26	3	29	0.00000
Capnocytophaga cynodegmi	28189	S	15	9	24	0.00000
Euzebyella marina	1761453	S	104	47	151	0.00001
Cellulophaga lytica	979	S	51	19	70	0.00001
Formosa sp. Hel3_A1_48	1336795	S	23	6	29	0.00000
Formosa sp. Hel1_31_208	1798225	S	13	3	16	0.00000
Robiginitalea biformata	252307	S	36	1	37	0.00000
Winogradskyella sp. HaHa_3_26	2749995	S	13	8	21	0.00000
Nonlabens ponticola	2496866	S	11	1	12	0.00000
Myroides sp. JBRI-B21084	3119977	S	12	7	19	0.00000
Salegentibacter salegens	143223	S	13	1	14	0.00000
Candidatus Arcticimaribacter forsetii	2820661	S	16	3	19	0.00000
Mariniflexile sp. TRM1-10	2027857	S	10	2	12	0.00000
Amniculibacterium sp. G2-70	2767188	S	10	10	20	0.00000
Chryseobacterium sp. HR92	3094839	S	14	25	39	0.00000
Chryseobacterium camelliae	1265445	S	40	24	64	0.00000
Chryseobacterium glaciei	1685010	S	24	26	50	0.00000
Ornithobacterium rhinotracheale	28251	S	25	5	30	0.00000
Elizabethkingia anophelis	1117645	S	10	4	14	0.00000
Blattabacterium cuenoti	1653831	S	35	23	58	0.00000
Hymenobacter sp. GOD-10R	3093922	S	32	3	35	0.00000
Hymenobacter sp. PAMC 26628	1484118	S	13	6	19	0.00000
Hymenobacter sp. DG01	2584940	S	12	4	16	0.00000
Hymenobacter sp. BT18	2835648	S	11	3	14	0.00000
Hymenobacter sp. YIM 151500-1	2987689	S	11	3	14	0.00000
Hymenobacter baengnokdamensis	2615203	S	23	34	57	0.00000
Hymenobacter aerilatus	2932251	S	22	8	30	0.00000
Hymenobacter jejuensis	2502781	S	20	3	23	0.00000
Hymenobacter oligotrophus	2319843	S	19	10	29	0.00000
Hymenobacter sedentarius	1411621	S	16	5	21	0.00000
Hymenobacter busanensis	2607656	S	15	4	19	0.00000
Hymenobacter tibetensis	497967	S	14	3	17	0.00000
Pontibacter russatus	2694929	S	36	6	42	0.00000
Pontibacter actiniarum	323450	S	27	6	33	0.00000
Pontibacter kalidii	2592049	S	18	5	23	0.00000
Adhaeribacter radiodurans	2745197	S	13	0	13	0.00000
Spirosoma rhododendri	2728024	S	25	4	29	0.00000
Spirosoma pollinicola	2057025	S	23	5	28	0.00000
Spirosoma aerolatum	1211326	S	15	3	18	0.00000
Spirosoma oryzicola	2898794	S	11	2	13	0.00000
Rhodocytophaga rosea	2704465	S	40	0	40	0.00000
Fulvitalea axinellae	1182444	S	79	1	80	0.00001
Echinicola rosea	1807691	S	10	0	10	0.00000
Echinicola marina	2859768	S	10	0	10	0.00000
Runella slithyformis	106	S	10	0	10	0.00000
Fulvivirga maritima	2904247	S	17	0	17	0.00000
Marivirga salinae	3059078	S	10	1	11	0.00000
Mucilaginibacter sp. 5C4	3048589	S	24	12	36	0.00000
Mucilaginibacter sp. CSA2-8R	3141542	S	11	5	16	0.00000
Mucilaginibacter celer	2305508	S	18	33	51	0.00000
Mucilaginibacter ginsenosidivorans	398053	S	16	5	21	0.00000
Mucilaginibacter gotjawali	1550579	S	13	6	19	0.00000
Sphingobacterium sp. WM	3031802	S	47	26	73	0.00001
Sphingobacterium daejeonense	371142	S	18	1	19	0.00000
Sphingobacterium multivorum	28454	S	16	9	25	0.00000
Pedobacter sp. D749	2856523	S	13	5	18	0.00000
Pedobacter heparinus	984	S	13	1	14	0.00000
Arcticibacter sp. MXS-1	3341726	S	55	4	59	0.00000
Chitinophaga sp. XS-30	2604421	S	46	15	61	0.00000
Chitinophaga caseinilytica	2267521	S	13	7	20	0.00000
Chitinophaga pinensis	79329	S	12	6	18	0.00000
Chitinophaga filiformis	104663	S	10	4	14	0.00000
Arachidicoccus soli	2341117	S	14	1	15	0.00000
Niastella koreensis	354356	S	10	0	10	0.00000
Chlorobaculum limnaeum	274537	S	20	2	22	0.00000
Prosthecochloris sp. GSB1	281093	S	10	0	10	0.00000
Salinibacter ruber	146919	S	21	0	21	0.00000
Fibrobacter succinogenes	833	S	84	1	85	0.00001
Gemmatirosa kalamazoonensis	861299	S	41	6	47	0.00000
Gemmatimonas groenlandica	2732249	S	11	0	11	0.00000
Klebsiella variicola	244366	S	582	717	1299	0.00009
Klebsiella pneumoniae	573	S	80	433	513	0.00004
Klebsiella oxytoca	571	S	42	4	46	0.00000
Enterobacter hormaechei	158836	S	199	967	1166	0.00008
Enterobacter asburiae	61645	S	11	6	17	0.00000
Citrobacter braakii	57706	S	43	65	108	0.00001
Citrobacter cronae	1748967	S	35	86	121	0.00001
Citrobacter amalonaticus	35703	S	18	8	26	0.00000
Citrobacter farmeri	67824	S	12	2	14	0.00000
Salmonella enterica	28901	S	179	6387	6566	0.00048
Escherichia coli	562	S	76	124	200	0.00001
Escherichia albertii	208962	S	53	386	439	0.00003
Escherichia fergusonii	564	S	16	3	19	0.00000
Blochmannia endosymbiont of Colobopsis nipponica	2681987	S	24	1	25	0.00000
Kosakonia cowanii	208223	S	11	1	12	0.00000
Cronobacter turicensis	413502	S	14	7	21	0.00000
[Enterobacter] lignolyticus	1334193	S	24	1	25	0.00000
Cedecea neteri	158822	S	19	0	19	0.00000
Pseudocitrobacter faecalis	1398493	S	17	1	18	0.00000
Serratia plymuthica	82996	S	27	41	68	0.00000
Serratia surfactantfaciens	2741499	S	20	33	53	0.00000
Rahnella aceris	2703885	S	21	20	41	0.00000
Pantoea sp. Lij88	3028622	S	15	54	69	0.00001
Candidatus Pantoea soli	3098669	S	12	7	19	0.00000
Erwinia amylovora	552	S	10	2	12	0.00000
Buchnera aphidicola	9	S	22	1	23	0.00000
Dickeya oryzae	1240404	S	11	41	52	0.00000
Xenorhabdus budapestensis	290110	S	14	4	18	0.00000
Morganella morganii	582	S	22	5	27	0.00000
Hafnia alvei	569	S	13	2	15	0.00000
Leminorella richardii	158841	S	10	0	10	0.00000
Gallaecimonas sp. GXIMD4217	3131927	S	12	0	12	0.00000
Pseudomonas fluorescens	294	S	897	243	1140	0.00008
Pseudomonas marginalis	298	S	238	104	342	0.00002
Pseudomonas sp. StFLB209	1028989	S	24	1	25	0.00000
Pseudomonas sp. R2-37-08W	1173273	S	21	72	93	0.00001
Pseudomonas sp. MM227	3019968	S	16	1	17	0.00000
Pseudomonas sp. MAG733B	3122079	S	13	2	15	0.00000
Pseudomonas sp. MPDS	2762896	S	12	47	59	0.00000
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	11	4	15	0.00000
Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001	3077589	S	11	1	12	0.00000
Pseudomonas sp. FP2338	2954093	S	10	3	13	0.00000
Pseudomonas putida	303	S	52	60	112	0.00001
Pseudomonas alkylphenolica	237609	S	56	5	61	0.00000
Pseudomonas syringae	317	S	20	12	32	0.00000
Pseudomonas viridiflava	33069	S	11	0	11	0.00000
Pseudomonas lijiangensis	2995658	S	11	0	11	0.00000
Pseudomonas aeruginosa	287	S	17	33	50	0.00000
Pseudomonas chlororaphis	587753	S	15	6	21	0.00000
Pseudomonas atacamensis	2565368	S	15	10	25	0.00000
Pseudomonas arsenicoxydans	702115	S	12	1	13	0.00000
Pseudomonas antarctica	219572	S	10	2	12	0.00000
Halopseudomonas litoralis	797277	S	44	9	53	0.00000
Halopseudomonas phragmitis	1931241	S	14	1	15	0.00000
Stutzerimonas stutzeri	316	S	19	9	28	0.00000
Marinobacter sp. CA1	2817656	S	11	15	26	0.00000
Marinobacter nanhaiticus	1305740	S	20	40	60	0.00000
Pseudohongiella spirulinae	1249552	S	29	0	29	0.00000
Haemophilus parainfluenzae	729	S	468	74	542	0.00004
[Haemophilus] ducreyi	730	S	205	10	215	0.00002
Haemophilus parahaemolyticus	735	S	10	1	11	0.00000
Actinobacillus succinogenes	67854	S	16	0	16	0.00000
Pasteurella canis	753	S	21	2	23	0.00000
Aggregatibacter aphrophilus	732	S	13	1	14	0.00000
Gallibacterium salpingitidis	505341	S	17	0	17	0.00000
Pseudoalteromonas sp. Scap25	2589992	S	273	52093	52366	0.00381
Pseudoalteromonas sp. DL-6	1390185	S	18	0	18	0.00000
Pseudoalteromonas piscicida	43662	S	11	0	11	0.00000
Shewanella acanthi	2864212	S	13	49	62	0.00000
Hydrocarboniclastica marina	2259620	S	44	0	44	0.00000
Lacimicrobium alkaliphilum	1526571	S	11	1	12	0.00000
Idiomarina sp. OXR-189	3100175	S	10	1	11	0.00000
Pseudidiomarina andamanensis	1940690	S	17	3	20	0.00000
Psychromonas sp. CNPT3	314282	S	16	0	16	0.00000
Ferrimonas balearica	44012	S	15	0	15	0.00000
Xanthomonas citri	346	S	112	556	668	0.00005
Xanthomonas translucens	343	S	29	5	34	0.00000
Xanthomonas hyacinthi	56455	S	19	2	21	0.00000
Stenotrophomonas maltophilia	40324	S	31	38	69	0.00001
Lysobacter capsici	435897	S	11	11	22	0.00000
Pseudoxanthomonas daejeonensis	266062	S	13	5	18	0.00000
Marilutibacter alkalisoli	2591633	S	13	0	13	0.00000
Luteibacter aegosomaticola	2911538	S	39	8	47	0.00000
Luteibacter rhizovicinus	242606	S	12	1	13	0.00000
Dyella sp. M7H15-1	2501295	S	14	1	15	0.00000
Dyella sp. BiH032	3075430	S	12	3	15	0.00000
Dyella sp. A6	3069105	S	11	3	14	0.00000
Dyella sp. GSA-30	2994496	S	10	1	11	0.00000
Vibrio sp. SS-MA-C1-2	2908646	S	43	3	46	0.00000
Vibrio campbellii	680	S	15	34	49	0.00000
Vibrio coralliilyticus	190893	S	16	19	35	0.00000
Vibrio zhugei	2479546	S	14	2	16	0.00000
Vibrio furnissii	29494	S	14	4	18	0.00000
Vibrio navarrensis	29495	S	12	5	17	0.00000
Photobacterium sp. CCB-ST2H9	2912855	S	13	1	14	0.00000
Aliivibrio fischeri	668	S	13	4	17	0.00000
Aliivibrio salmonicida	40269	S	10	1	11	0.00000
Salinivibrio kushneri	1908198	S	19	3	22	0.00000
Halomonas sp. TD01	999141	S	25	52	77	0.00001
Halomonas sp. I5-271120	3061632	S	14	15	29	0.00000
Halomonas sp. 3H	2952527	S	10	14	24	0.00000
Halomonas sp. BM-2019	2811227	S	10	9	19	0.00000
Marinomonas rhizomae	491948	S	17	4	21	0.00000
Aeromonas hydrophila	644	S	24	658	682	0.00005
Aeromonas jandaei	650	S	21	2	23	0.00000
Aeromonas enteropelogenes	29489	S	19	4	23	0.00000
Aeromonas media	651	S	17	2	19	0.00000
Aeromonas veronii	654	S	16	4	20	0.00000
Acinetobacter baumannii	470	S	76	94	170	0.00001
Acinetobacter nosocomialis	106654	S	10	2	12	0.00000
Acinetobacter thermotolerans	3151487	S	16	1	17	0.00000
Acinetobacter venetianus	52133	S	14	1	15	0.00000
Moraxella nasovis	2904121	S	20	0	20	0.00000
Moraxella bovoculi	386891	S	18	5	23	0.00000
Moraxella atlantae	34059	S	17	0	17	0.00000
Moraxella nasicaprae	2904122	S	12	0	12	0.00000
Candidatus Thiodictyon syntrophicum	1166950	S	40	11	51	0.00000
Nitrosococcus watsonii	473531	S	17	2	19	0.00000
Rheinheimera sp. MM224	3019969	S	10	0	10	0.00000
Thioalkalivibrio paradoxus	108010	S	17	3	20	0.00000
Spiribacter salinus	1335746	S	13	0	13	0.00000
Wenzhouxiangella marina	1579979	S	15	1	16	0.00000
Methylophaga pinxianii	2881052	S	17	2	19	0.00000
Thiosulfativibrio zosterae	2675053	S	14	1	15	0.00000
Thiothrix litoralis	2891210	S	18	18	36	0.00000
Francisella uliginis	573570	S	12	17	29	0.00000
Cellvibrio japonicus	155077	S	25	0	25	0.00000
Microbulbifer sp. YPW1	2745199	S	10	2	12	0.00000
Methylomonas sp. EFPC1	2812647	S	10	26	36	0.00000
Methylobacter sp. YRD-M1	2911520	S	10	7	17	0.00000
Legionella cardiaca	1071983	S	30	0	30	0.00000
Rickettsiella endosymbiont of Dermanyssus gallinae	2856608	S	11	0	11	0.00000
Candidatus Pseudothioglobus singularis	1427364	S	15	12	27	0.00000
Cardiobacterium hominis	2718	S	12	0	12	0.00000
Dichelobacter nodosus	870	S	10	3	13	0.00000
Ignatzschineria rhizosphaerae	2923279	S	22	0	22	0.00000
Solimonas sp. K1W22B-7	2303331	S	28	1	29	0.00000
Gilliamella apis	1970738	S	26	0	26	0.00000
Sulfurifustis variabilis	1675686	S	14	0	14	0.00000
Turicimonas muris	1796652	S	2500	328	2828	0.00021
Sutterella wadsworthensis	40545	S	36	8	44	0.00000
Sutterella megalosphaeroides	2494234	S	30	7	37	0.00000
Sutterella faecalis	2584944	S	14	3	17	0.00000
Duodenibacillus massiliensis	1852381	S	21	4	25	0.00000
Burkholderia dolosa	152500	S	1523	37150	38673	0.00281
Burkholderia cepacia	292	S	39	2	41	0.00000
Burkholderia ubonensis	101571	S	15	1	16	0.00000
Burkholderia anthina	179879	S	13	1	14	0.00000
Burkholderia contaminans	488447	S	11	0	11	0.00000
Burkholderia vietnamiensis	60552	S	10	2	12	0.00000
Burkholderia sp. PAMC 26561	1795043	S	29	14	43	0.00000
Burkholderia pseudomallei	28450	S	15	4	19	0.00000
Burkholderia glumae	337	S	35	1	36	0.00000
Cupriavidus oxalaticus	96344	S	162	33	195	0.00001
Cupriavidus sp. DF5525	3160989	S	24	3	27	0.00000
Cupriavidus sp. WKF15	3032282	S	17	1	18	0.00000
Cupriavidus pauculus	82633	S	17	1	18	0.00000
Cupriavidus taiwanensis	164546	S	16	7	23	0.00000
Cupriavidus necator	106590	S	14	4	18	0.00000
Cupriavidus metallidurans	119219	S	10	1	11	0.00000
Polynucleobacter sp. AP-Kolm-20A-A1	2081041	S	23	10	33	0.00000
Polynucleobacter sp. Adler-ghost	2770234	S	21	27	48	0.00000
Polynucleobacter sp. UK-FUSCHL-C3	2955208	S	14	0	14	0.00000
Polynucleobacter wuianus	1743168	S	16	1	17	0.00000
Ralstonia solanacearum	305	S	84	19	103	0.00001
Ralstonia pseudosolanacearum	1310165	S	20	10	30	0.00000
Ralstonia mannitolilytica	105219	S	10	4	14	0.00000
Paraburkholderia sp. SUR17	3034358	S	18	10	28	0.00000
Paraburkholderia sp. IMGN_8	3136564	S	14	6	20	0.00000
Paraburkholderia bonniea	2152891	S	13	0	13	0.00000
Paraburkholderia phytofirmans	261302	S	10	7	17	0.00000
Limnobacter sp.	2003368	S	14	0	14	0.00000
Caballeronia insecticola	758793	S	16	2	18	0.00000
Trinickia caryophylli	28094	S	12	0	12	0.00000
Variovorax sp. PBL-E5	434014	S	36	20	56	0.00000
Variovorax sp. 38R	2774875	S	25	12	37	0.00000
Variovorax sp. PBL-H6	434009	S	16	4	20	0.00000
Variovorax sp. V116	3065953	S	16	6	22	0.00000
Variovorax paradoxus	34073	S	33	9	42	0.00000
Comamonas aquatica	225991	S	15	3	18	0.00000
Comamonas thiooxydans	363952	S	11	24	35	0.00000
Acidovorax sp. SDU_ACID1	3136632	S	13	7	20	0.00000
Ottowia sp. SB7-C50	3081231	S	17	2	19	0.00000
Paracidovorax avenae	80867	S	22	72	94	0.00001
Limnohabitans sp. MORI2	1751150	S	17	0	17	0.00000
Ramlibacter tataouinensis	94132	S	10	0	10	0.00000
Massilia sp. PAMC28688	2861283	S	15	12	27	0.00000
Massilia forsythiae	2728020	S	25	15	40	0.00000
Pseudoduganella flava	871742	S	51	17	68	0.00000
Telluria mixta	34071	S	15	8	23	0.00000
Oxalobacter aliiformigenes	2946593	S	92	2	94	0.00001
Herbaspirillum sp. DW155	3095609	S	17	10	27	0.00000
Achromobacter xylosoxidans	85698	S	27	22	49	0.00000
Achromobacter spanius	217203	S	15	15	30	0.00000
Achromobacter veterisilvae	2069367	S	11	6	17	0.00000
Bordetella avium	521	S	15	10	25	0.00000
Neopusillimonas aromaticivorans	2979868	S	17	6	23	0.00000
Castellaniella ginsengisoli	546114	S	10	2	12	0.00000
Pusillimonas sp. T7-7	1007105	S	18	3	21	0.00000
Orrella dioscoreae	1851544	S	11	3	14	0.00000
Roseateles depolymerans	76731	S	21	0	21	0.00000
Paucibacter sediminis	3019553	S	11	0	11	0.00000
Inhella inkyongensis	392593	S	34	1	35	0.00000
Xylophilus rhododendri	2697032	S	37	1	38	0.00000
Xylophilus sp. GOD-11R	3089814	S	10	0	10	0.00000
Neisseria arctica	1470200	S	20	4	24	0.00000
Neisseria lactamica	486	S	12	78	90	0.00001
Snodgrassella alvi	1196083	S	11	1	12	0.00000
Snodgrassella communis	2946699	S	10	2	12	0.00000
Paralysiella testudinis	2809020	S	16	5	21	0.00000
Conchiformibius kuhniae	211502	S	10	3	13	0.00000
Chitinibacter sp. FCG-7	3153927	S	30	1	31	0.00000
Chitinibacter fontanus	1737446	S	32	1	33	0.00000
Deefgea tanakiae	2865840	S	26	0	26	0.00000
Silvimonas soli	2980100	S	13	0	13	0.00000
Vogesella sp. LIG4	1192162	S	26	2	28	0.00000
Chromobacterium sp. IIBBL 290-4	2953890	S	16	8	24	0.00000
Paludibacterium paludis	1225769	S	27	1	28	0.00000
Azoarcus sp. KH32C	748247	S	33	2	35	0.00000
Azoarcus sp. CIB	198107	S	17	4	21	0.00000
Nitrogeniibacter aestuarii	2815343	S	23	0	23	0.00000
Thauera sp. WB-2	2897772	S	10	4	14	0.00000
Pseudothauera hydrothermalis	2184083	S	15	0	15	0.00000
Parazoarcus communis	41977	S	12	0	12	0.00000
Aromatoleum aromaticum	551760	S	19	1	20	0.00000
Niveibacterium microcysteis	2811415	S	11	0	11	0.00000
Dechloromonas sp. HYN0024	2231055	S	12	4	16	0.00000
Fluviibacter phosphoraccumulans	1751046	S	20	0	20	0.00000
Sulfuriferula sp. AH1	1985873	S	25	1	26	0.00000
Sulfuricella denitrificans	649841	S	14	0	14	0.00000
Sulfurimicrobium lacus	2715678	S	14	1	15	0.00000
Ferriphaselus amnicola	1188319	S	21	6	27	0.00000
Ferrigenium kumadai	1682490	S	10	6	16	0.00000
Sulfuricystis multivorans	2211108	S	19	1	20	0.00000
Rhizobium sp. 11515TR	2028343	S	14	38	52	0.00000
Rhizobium leguminosarum	384	S	36	68	104	0.00001
Rhizobium ruizarguesonis	2081791	S	27	28	55	0.00000
Rhizobium rhizoryzae	451876	S	10	2	12	0.00000
Agrobacterium tumefaciens	358	S	38	75	113	0.00001
Agrobacterium cucumeris	2862866	S	17	16	33	0.00000
Agrobacterium vitis	373	S	13	6	19	0.00000
Agrobacterium vaccinii	2735528	S	10	2	12	0.00000
Neorhizobium galegae	399	S	78	27	105	0.00001
Neorhizobium sp. CSC1952	2978974	S	25	13	38	0.00000
Allorhizobium pseudoryzae	379684	S	30	14	44	0.00000
Sinorhizobium fredii	380	S	13	16	29	0.00000
Ensifer sp. WSM1721	1041159	S	13	8	21	0.00000
Aliirhizobium terrae	2926709	S	17	9	26	0.00000
Hoeflea phototrophica	244596	S	11	3	14	0.00000
uncultured Gellertiella sp.	2040489	S	10	5	15	0.00000
Xanthobacter autotrophicus	280	S	680	397	1077	0.00008
Aquabacter sp. L1I39	2820278	S	28	8	36	0.00000
Bradyrhizobium sp. 26S5	3139729	S	24	145	169	0.00001
Bradyrhizobium sp. CB82	3039159	S	13	4	17	0.00000
Bradyrhizobium symbiodeficiens	1404367	S	22	62	84	0.00001
Bradyrhizobium cosmicum	1404864	S	12	14	26	0.00000
Bradyrhizobium sediminis	2840469	S	11	4	15	0.00000
Nitrobacter hamburgensis	912	S	104	31	135	0.00001
Rhodopseudomonas palustris	1076	S	29	12	41	0.00000
Afipia sp. GAS231	1882747	S	10	9	19	0.00000
Bartonella krasnovii	2267275	S	432	37	469	0.00003
Bartonella choladocola	2750995	S	12	0	12	0.00000
Mesorhizobium sp. L-8-3	2744522	S	15	87	102	0.00001
Mesorhizobium sp. DCY119	2108445	S	11	12	23	0.00000
Aminobacter sp. SR38	2774562	S	32	180	212	0.00002
Nitratireductor mangrovi	2599600	S	37	19	56	0.00000
Methylobacterium durans	2202825	S	32	25	57	0.00000
Methylobacterium flocculans	2984843	S	10	8	18	0.00000
Bosea sp. F3-2	2599640	S	46	20	66	0.00000
Bosea sp. Tri-49	1867715	S	23	14	37	0.00000
Roseibium sp. Sym1	3016006	S	47	24	71	0.00001
Roseibium aggregatum	187304	S	11	24	35	0.00000
Devosia sp. SD17-2	2976459	S	19	10	29	0.00000
Devosia sp. SL43	2806348	S	10	6	16	0.00000
Martelella endophytica	1486262	S	63	22	85	0.00001
Pseudorhodoplanes sinuspersici	1235591	S	38	7	45	0.00000
Enhydrobacter sp.	1894999	S	23	6	29	0.00000
Hyphomicrobium nitrativorans	1427356	S	10	1	11	0.00000
uncultured Cohaesibacter sp.	1002546	S	35	10	45	0.00000
Methylovirgula sp. 4M-Z18	2293567	S	19	4	23	0.00000
Pleomorphomonas sp. PLEO	3239306	S	10	2	12	0.00000
Rhodoligotrophos sp. CJ14	3069264	S	11	1	12	0.00000
