name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	893342	1098549	1991891	0.14480
Bacteroides thetaiotaomicron	818	S	158002	47457	205459	0.01494
Bacteroides xylanisolvens	371601	S	155477	258021	413498	0.03006
Bacteroides finegoldii	338188	S	100227	74521	174748	0.01270
Bacteroides salyersiae	291644	S	91392	13527	104919	0.00763
Bacteroides stercoris	46506	S	82056	39587	121643	0.00884
Bacteroides caccae	47678	S	51334	13108	64442	0.00468
Bacteroides fragilis	817	S	31951	17551	49502	0.00360
Bacteroides sp. CACC 737	2755405	S	7481	33124	40605	0.00295
Bacteroides sp. A1C1	2528203	S	6494	37346	43840	0.00319
Bacteroides sp. HF-162	2785531	S	6155	57929	64084	0.00466
Bacteroides sp. DH3716P	2847299	S	3298	34069	37367	0.00272
Bacteroides sp. M10	2763022	S	1444	1234	2678	0.00019
Bacteroides sp. D2	556259	S	817	1091	1908	0.00014
Bacteroides sp. MSB163	3117552	S	315	136	451	0.00003
Bacteroides ovatus	28116	S	17818	48869	66687	0.00485
Bacteroides humanifaecis	2792859	S	9405	72741	82146	0.00597
Bacteroides zhangwenhongii	2650157	S	6315	6172	12487	0.00091
Bacteroides faecis	674529	S	5365	2262	7627	0.00055
Bacteroides cellulosilyticus	246787	S	3974	2631	6605	0.00048
Bacteroides eggerthii	28111	S	2101	831	2932	0.00021
Bacteroides caecimuris	1796613	S	1778	1010	2788	0.00020
Bacteroides luhongzhouii	2650158	S	1569	526	2095	0.00015
Bacteroides intestinalis	329854	S	1052	160	1212	0.00009
Bacteroides faecium	2715212	S	832	56	888	0.00006
Bacteroides helcogenes	290053	S	458	21	479	0.00003
Bacteroides heparinolyticus	28113	S	439	90	529	0.00004
Bacteroides nordii	291645	S	362	33	395	0.00003
Bacteroides zoogleoformans	28119	S	234	44	278	0.00002
Bacteroides sedimenti	2136147	S	89	2	91	0.00001
Bacteroides graminisolvens	477666	S	21	0	21	0.00000
uncultured Bacteroides sp.	162156	S	21	0	21	0.00000
Phocaeicola vulgatus	821	S	1201202	896250	2097452	0.15247
Phocaeicola dorei	357276	S	373489	243930	617419	0.04488
Phocaeicola salanitronis	376805	S	25715	2550	28265	0.00205
Phocaeicola coprophilus	387090	S	3978	1703	5681	0.00041
Parabacteroides merdae	46503	S	182641	65433	248074	0.01803
Parabacteroides distasonis	823	S	53285	42004	95289	0.00693
Parabacteroides johnsonii	387661	S	1091	179	1270	0.00009
Parabacteroides goldsteinii	328812	S	922	135	1057	0.00008
Parabacteroides faecis	1217282	S	451	48	499	0.00004
Parabacteroides sp. CT06	2025876	S	208	4213	4421	0.00032
Parabacteroides sp. AD58	2951805	S	159	24	183	0.00001
Parabacteroides chongii	2685834	S	173	16	189	0.00001
Tannerella serpentiformis	712710	S	57	2	59	0.00000
Tannerella forsythia	28112	S	38	0	38	0.00000
Alistipes communis	2585118	S	46101	7713	53814	0.00391
Alistipes shahii	328814	S	33005	26460	59465	0.00432
Alistipes onderdonkii	328813	S	29337	9128	38465	0.00280
Alistipes ihumii	1470347	S	11060	450	11510	0.00084
Alistipes sp. i18-0019-D1	3132707	S	8896	3581	12477	0.00091
Alistipes sp. dk3624	2662363	S	244	28	272	0.00002
Alistipes finegoldii	214856	S	2735	1551	4286	0.00031
uncultured Alistipes sp.	538949	S	1643	216	1859	0.00014
Alistipes senegalensis	1288121	S	1500	1201	2701	0.00020
Alistipes dispar	2585119	S	1126	209	1335	0.00010
Alistipes megaguti	2364787	S	678	139	817	0.00006
Alistipes indistinctus	626932	S	248	24	272	0.00002
uncultured Acetobacteroides sp.	1760811	S	13	0	13	0.00000
Odoribacter splanchnicus	28118	S	33646	7051	40697	0.00296
Butyricimonas faecihominis	1472416	S	20021	6154	26175	0.00190
Butyricimonas faecalis	2093856	S	498	222	720	0.00005
Butyricimonas paravirosa	1472417	S	380	154	534	0.00004
Butyricimonas virosa	544645	S	44	5	49	0.00000
Paraprevotella clara	454154	S	2429	272	2701	0.00020
Paraprevotella xylaniphila	454155	S	1413	314	1727	0.00013
Segatella copri	165179	S	873	70	943	0.00007
Segatella oris	28135	S	64	8	72	0.00001
Segatella hominis	2518605	S	37	5	42	0.00000
Segatella baroniae	305719	S	25	42	67	0.00000
Prevotella multiformis	282402	S	204	80	284	0.00002
Prevotella fusca	589436	S	201	41	242	0.00002
