name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	6462254	2209861	8672115	0.40278
Bacteroides uniformis	820	S	285447	266341	551788	0.02563
Bacteroides salyersiae	291644	S	231129	25150	256279	0.01190
Bacteroides ovatus	28116	S	215732	499948	715680	0.03324
Bacteroides thetaiotaomicron	818	S	175112	39760	214872	0.00998
Bacteroides caccae	47678	S	114582	45704	160286	0.00744
Bacteroides fragilis	817	S	106184	48482	154666	0.00718
Bacteroides sp. CACC 737	2755405	S	21324	92551	113875	0.00529
Bacteroides sp. D2	556259	S	14067	20255	34322	0.00159
Bacteroides sp. A1C1	2528203	S	12647	71654	84301	0.00392
Bacteroides sp. M10	2763022	S	8501	7674	16175	0.00075
Bacteroides sp. HF-162	2785531	S	8085	70168	78253	0.00363
Bacteroides sp. DH3716P	2847299	S	866	8281	9147	0.00042
Bacteroides sp. MSB163	3117552	S	581	226	807	0.00004
Bacteroides sp. ZJ-18	2709390	S	166	1042	1208	0.00006
Bacteroides eggerthii	28111	S	59442	16123	75565	0.00351
Bacteroides humanifaecis	2792859	S	36909	266753	303662	0.01410
Bacteroides faecis	674529	S	35496	11655	47151	0.00219
Bacteroides xylanisolvens	371601	S	29119	42715	71834	0.00334
Bacteroides intestinalis	329854	S	20734	2852	23586	0.00110
Bacteroides finegoldii	338188	S	8778	5599	14377	0.00067
Bacteroides luhongzhouii	2650158	S	6404	1995	8399	0.00039
Bacteroides helcogenes	290053	S	3366	124	3490	0.00016
Bacteroides cellulosilyticus	246787	S	2345	1378	3723	0.00017
Bacteroides zhangwenhongii	2650157	S	1849	1568	3417	0.00016
Bacteroides caecimuris	1796613	S	1635	728	2363	0.00011
Bacteroides faecium	2715212	S	1585	99	1684	0.00008
Bacteroides nordii	291645	S	520	36	556	0.00003
Bacteroides zoogleoformans	28119	S	444	75	519	0.00002
Bacteroides heparinolyticus	28113	S	373	60	433	0.00002
Bacteroides graminisolvens	477666	S	146	2	148	0.00001
uncultured Bacteroides sp.	162156	S	43	1	44	0.00000
Bacteroides sedimenti	2136147	S	39	0	39	0.00000
Phocaeicola vulgatus	821	S	2210501	1475945	3686446	0.17122
Phocaeicola salanitronis	376805	S	62075	4609	66684	0.00310
Phocaeicola dorei	357276	S	46767	33805	80572	0.00374
Phocaeicola coprophilus	387090	S	4503	1386	5889	0.00027
Parabacteroides merdae	46503	S	128087	40273	168360	0.00782
Parabacteroides distasonis	823	S	84606	126119	210725	0.00979
Parabacteroides sp. CT06	2025876	S	6933	296147	303080	0.01408
Parabacteroides sp. AD58	2951805	S	2732	286	3018	0.00014
Parabacteroides johnsonii	387661	S	2137	351	2488	0.00012
Parabacteroides goldsteinii	328812	S	1888	216	2104	0.00010
Parabacteroides faecis	1217282	S	548	71	619	0.00003
Parabacteroides chongii	2685834	S	184	23	207	0.00001
Tannerella serpentiformis	712710	S	17	0	17	0.00000
Alistipes shahii	328814	S	165678	90518	256196	0.01190
Alistipes communis	2585118	S	16796	1958	18754	0.00087
Alistipes onderdonkii	328813	S	9326	1912	11238	0.00052
Alistipes finegoldii	214856	S	7338	2674	10012	0.00047
uncultured Alistipes sp.	538949	S	4910	472	5382	0.00025
Alistipes senegalensis	1288121	S	3004	435	3439	0.00016
Alistipes sp. i18-0019-D1	3132707	S	1396	377	1773	0.00008
Alistipes sp. dk3624	2662363	S	65	4	69	0.00000
Alistipes megaguti	2364787	S	503	67	570	0.00003
Alistipes dispar	2585119	S	341	43	384	0.00002
Alistipes ihumii	1470347	S	112	3	115	0.00001
Alistipes indistinctus	626932	S	70	4	74	0.00000
Odoribacter splanchnicus	28118	S	69697	10639	80336	0.00373
Butyricimonas virosa	544645	S	2790	125	2915	0.00014
Butyricimonas faecalis	2093856	S	1401	420	1821	0.00008
Butyricimonas faecihominis	1472416	S	161	23	184	0.00001
Butyricimonas paravirosa	1472417	S	81	15	96	0.00000
Segatella copri	165179	S	5516	621	6137	0.00029
Segatella hominis	2518605	S	192	47	239	0.00001
Segatella oris	28135	S	99	22	121	0.00001
Prevotella nigrescens	28133	S	476	328	804	0.00004
Prevotella melaninogenica	28132	S	361	54	415	0.00002
Prevotella intermedia	28131	S	298	59	357	0.00002
Prevotella sp. E13-17	2913616	S	17	62	79	0.00000
Prevotella sp. Rep29	2691580	S	10	5	15	0.00000
Prevotella dentalis	52227	S	74	10	84	0.00000
Prevotella bivia	28125	S	34	3	37	0.00000
Prevotella multiformis	282402	S	34	6	40	0.00000
Prevotella corporis	28128	S	30	5	35	0.00000
Prevotella jejuni	1177574	S	19	3	22	0.00000
Prevotella denticola	28129	S	16	3	19	0.00000
Prevotella communis	2913614	S	16	0	16	0.00000
Prevotella scopos	589437	S	14	3	17	0.00000
Prevotella histicola	470565	S	10	1	11	0.00000
Paraprevotella xylaniphila	454155	S	474	91	565	0.00003
Paraprevotella clara	454154	S	64	8	72	0.00000
Hoylesella buccalis	28127	S	106	26	132	0.00001
Barnesiella sp. An22	1965590	S	1774	219	1993	0.00009
