name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sphingobacterium sp. BN32	3058432	S	11	0	11	0.00000
Sphingobacterium daejeonense	371142	S	16	0	16	0.00000
Sphingobacterium spiritivorum	258	S	13	0	13	0.00000
Mucilaginibacter xinganensis	1234841	S	34	3	37	0.00000
Mucilaginibacter paludis	423351	S	25	1	26	0.00000
Pedobacter heparinus	984	S	13	1	14	0.00000
Chitinophaga sancti	1004	S	10	3	13	0.00000
Pelodictyon phaeoclathratiforme	34090	S	23	11	34	0.00000
Gracilimonas sediminicola	2952158	S	13	0	13	0.00000
Rhodothermus marinus	29549	S	11	0	11	0.00000
Pseudogemmatithrix spongiicola	3062599	S	19	0	19	0.00000
Akkermansia muciniphila	239935	S	205709	6872	212581	0.01600
Akkermansia sp. BCRC 18949	3037987	S	19	56	75	0.00001
Akkermansia sp. N21116	3040764	S	12	0	12	0.00000
Rubinisphaera brasiliensis	119	S	48	10	58	0.00000
Escherichia coli	562	S	2988	47237	50225	0.00378
Escherichia albertii	208962	S	30	14	44	0.00000
Escherichia fergusonii	564	S	29	30	59	0.00000
Escherichia marmotae	1499973	S	19	8	27	0.00000
Klebsiella variicola	244366	S	471	989	1460	0.00011
Klebsiella pneumoniae	573	S	61	719	780	0.00006
Klebsiella oxytoca	571	S	23	5	28	0.00000
Klebsiella aerogenes	548	S	11	2	13	0.00000
Klebsiella pasteurii	2587529	S	10	20	30	0.00000
Enterobacter hormaechei	158836	S	135	1514	1649	0.00012
Enterobacter kobei	208224	S	12	19	31	0.00000
Enterobacter asburiae	61645	S	11	14	25	0.00000
Enterobacter adelaidei	3142537	S	13	6	19	0.00000
Salmonella enterica	28901	S	88	4753	4841	0.00036
Shigella flexneri	623	S	19	2863	2882	0.00022
Shigella dysenteriae	622	S	14	174	188	0.00001
Lelliottia amnigena	61646	S	14	5	19	0.00000
Serratia plymuthica	82996	S	11	52	63	0.00000
Buchnera aphidicola	9	S	14	0	14	0.00000
Pseudomonas aeruginosa	287	S	1515	5045	6560	0.00049
Pseudomonas fluorescens	294	S	625	286	911	0.00007
Pseudomonas marginalis	298	S	149	96	245	0.00002
Pseudomonas sp. Lz4W	1206777	S	25	16	41	0.00000
Pseudomonas sp. PDNC002	2811422	S	10	19	29	0.00000
Pseudomonas fragi	296	S	104	163	267	0.00002
Pseudomonas lundensis	86185	S	22	1	23	0.00000
Pseudomonas saxonica	2600598	S	50	3	53	0.00000
Pseudomonas bubulae	2316085	S	28	73	101	0.00001
Pseudomonas syringae	317	S	13	11	24	0.00000
Pseudomonas versuta	1788301	S	23	1	24	0.00000
Pseudomonas sediminis	1691904	S	12	2	14	0.00000
Pseudomonas helleri	1608996	S	10	0	10	0.00000
Stutzerimonas stutzeri	316	S	24	6	30	0.00000
Metapseudomonas otitidis	319939	S	19	1	20	0.00000
Xanthomonas citri	346	S	70	132	202	0.00002
Xanthomonas sacchari	56458	S	10	0	10	0.00000
Dyella japonica	231455	S	10	1	11	0.00000
Luteibacter anthropi	564369	S	18	0	18	0.00000
Tahibacter sp. UC22_41	3350178	S	14	0	14	0.00000
[Haemophilus] ducreyi	730	S	146	4	150	0.00001
Haemophilus parainfluenzae	729	S	79	4	83	0.00001
Gallibacterium salpingitidis	505341	S	24	0	24	0.00000
Actinobacillus succinogenes	67854	S	19	0	19	0.00000
Pseudoalteromonas sp. Scap25	2589992	S	159	4739	4898	0.00037
Ferrimonas sp. YFM	3028878	S	14	0	14	0.00000
Acinetobacter baumannii	470	S	64	85	149	0.00001
