name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides thetaiotaomicron	818	S	4790116	1542171	6332287	0.28223
Bacteroides uniformis	820	S	1753207	2511521	4264728	0.19008
Bacteroides ovatus	28116	S	81684	234051	315735	0.01407
Bacteroides xylanisolvens	371601	S	49374	126061	175435	0.00782
Bacteroides sp. HF-162	2785531	S	17073	190488	207561	0.00925
Bacteroides sp. A1C1	2528203	S	7349	50374	57723	0.00257
Bacteroides sp. CACC 737	2755405	S	7322	38749	46071	0.00205
Bacteroides sp. D2	556259	S	919	1448	2367	0.00011
Bacteroides sp. DH3716P	2847299	S	712	8494	9206	0.00041
Bacteroides sp. MSB163	3117552	S	207	100	307	0.00001
Bacteroides sp. M10	2763022	S	131	134	265	0.00001
Bacteroides sp. ZJ-18	2709390	S	38	272	310	0.00001
Bacteroides fragilis	817	S	37406	26627	64033	0.00285
Bacteroides caccae	47678	S	28335	69683	98018	0.00437
Bacteroides nordii	291645	S	23554	2515	26069	0.00116
Bacteroides faecis	674529	S	11754	5561	17315	0.00077
Bacteroides humanifaecis	2792859	S	8358	74728	83086	0.00370
Bacteroides eggerthii	28111	S	7197	3423	10620	0.00047
Bacteroides salyersiae	291644	S	6280	1018	7298	0.00033
Bacteroides stercoris	46506	S	5821	3327	9148	0.00041
Bacteroides cellulosilyticus	246787	S	1899	1408	3307	0.00015
Bacteroides caecimuris	1796613	S	1582	972	2554	0.00011
Bacteroides finegoldii	338188	S	1403	1186	2589	0.00012
Bacteroides helcogenes	290053	S	1272	54	1326	0.00006
Bacteroides intestinalis	329854	S	1196	200	1396	0.00006
Bacteroides zhangwenhongii	2650157	S	552	632	1184	0.00005
Bacteroides faecium	2715212	S	410	29	439	0.00002
Bacteroides heparinolyticus	28113	S	396	89	485	0.00002
Bacteroides zoogleoformans	28119	S	380	84	464	0.00002
Bacteroides luhongzhouii	2650158	S	316	114	430	0.00002
Bacteroides sedimenti	2136147	S	162	2	164	0.00001
Bacteroides graminisolvens	477666	S	76	1	77	0.00000
uncultured Bacteroides sp.	162156	S	12	0	12	0.00000
Phocaeicola dorei	357276	S	30496	62188	92684	0.00413
Phocaeicola vulgatus	821	S	19253	12935	32188	0.00143
Phocaeicola salanitronis	376805	S	513	52	565	0.00003
Phocaeicola coprophilus	387090	S	212	116	328	0.00001
Prevotella corporis	28128	S	10865	4163	15028	0.00067
Prevotella bivia	28125	S	5523	1387	6910	0.00031
Prevotella intermedia	28131	S	4442	3506	7948	0.00035
Prevotella melaninogenica	28132	S	3149	2237	5386	0.00024
Prevotella jejuni	1177574	S	2996	2744	5740	0.00026
Prevotella denticola	28129	S	2902	2399	5301	0.00024
Prevotella fusca	589436	S	2492	1361	3853	0.00017
Prevotella nigrescens	28133	S	1109	2076	3185	0.00014
Prevotella sp. oral taxon 299	652716	S	813	202	1015	0.00005
Prevotella sp. E2-28	2913620	S	69	12	81	0.00000
Prevotella sp. oral taxon 475	712471	S	23	2	25	0.00000
Prevotella veroralis	28137	S	252	142	394	0.00002
Prevotella scopos	589437	S	241	283	524	0.00002
Hoylesella buccalis	28127	S	18676	8585	27261	0.00122
Hoylesella enoeca	76123	S	444	326	770	0.00003
Paraprevotella xylaniphila	454155	S	5961	1494	7455	0.00033
Paraprevotella clara	454154	S	1785	254	2039	0.00009
Segatella copri	165179	S	3179	356	3535	0.00016
Segatella hominis	2518605	S	998	171	1169	0.00005
Segatella bryantii	77095	S	72	57	129	0.00001
Segatella oris	28135	S	27	11	38	0.00000
Parabacteroides distasonis	823	S	55409	45870	101279	0.00451
Parabacteroides goldsteinii	328812	S	10861	1733	12594	0.00056
Parabacteroides faecis	1217282	S	1315	108	1423	0.00006
Parabacteroides merdae	46503	S	1272	445	1717	0.00008
Parabacteroides chongii	2685834	S	1180	123	1303	0.00006
Parabacteroides sp. AD58	2951805	S	158	24	182	0.00001
Parabacteroides johnsonii	387661	S	109	19	128	0.00001
Tannerella serpentiformis	712710	S	79	1	80	0.00000
Alistipes finegoldii	214856	S	2189	1132	3321	0.00015
Alistipes shahii	328814	S	1913	2695	4608	0.00021
Alistipes onderdonkii	328813	S	1881	496	2377	0.00011
Alistipes senegalensis	1288121	S	1293	194	1487	0.00007
Alistipes communis	2585118	S	501	66	567	0.00003
uncultured Alistipes sp.	538949	S	212	21	233	0.00001
Alistipes dispar	2585119	S	139	23	162	0.00001
Alistipes indistinctus	626932	S	93	7	100	0.00000
Alistipes sp. dk3624	2662363	S	47	4	51	0.00000
Alistipes sp. i18-0019-D1	3132707	S	27	10	37	0.00000
Alistipes ihumii	1470347	S	41	0	41	0.00000
Alistipes megaguti	2364787	S	21	3	24	0.00000
Odoribacter splanchnicus	28118	S	1294	182	1476	0.00007
Butyricimonas faecalis	2093856	S	953	509	1462	0.00007
Butyricimonas faecihominis	1472416	S	87	35	122	0.00001
Butyricimonas paravirosa	1472417	S	58	31	89	0.00000
Butyricimonas virosa	544645	S	46	8	54	0.00000
Coprobacter secundus	1501392	S	797	137	934	0.00004
Coprobacter fastidiosus	1099853	S	104	3	107	0.00000
