name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Barnesiella sp. An22	1965590	S	676	89	765	0.00003
Barnesiella viscericola	397865	S	80	11	91	0.00000
Porphyromonas somerae	322095	S	942	305	1247	0.00006
Porphyromonas endodontalis	28124	S	157	30	187	0.00001
Porphyromonas gingivalis	837	S	136	36	172	0.00001
Paramuribaculum intestinale	2094151	S	41	319	360	0.00002
Muribaculum intestinale	1796646	S	16	84	100	0.00000
Muribaculum gordoncarteri	2530390	S	11	179	190	0.00001
Sodaliphilus pleomorphus	2606626	S	21	1	22	0.00000
Duncaniella dubosii	2518971	S	12	81	93	0.00000
Petrimonas mucosa	1642646	S	40	0	40	0.00000
uncultured Draconibacterium sp.	1573823	S	82	0	82	0.00000
Alkalitalea saponilacus	889453	S	19	0	19	0.00000
Flavobacterium psychrophilum	96345	S	368	25	393	0.00002
Flavobacterium sp. K5-23	2746225	S	21	3	24	0.00000
Flavobacterium ammonificans	1751056	S	43	3	46	0.00000
Flavobacterium aquiphilum	3003261	S	30	1	31	0.00000
Flavobacterium gilvum	1492737	S	25	1	26	0.00000
Flavobacterium johnsoniae	986	S	23	10	33	0.00000
Flavobacterium channae	2897181	S	10	1	11	0.00000
Christiangramia fulva	2126553	S	58	2	60	0.00000
Gramella sp. MT6	2705471	S	34	1	35	0.00000
Christiangramia forsetii	411153	S	18	1	19	0.00000
Polaribacter sp. MED152	313598	S	38	12	50	0.00000
Polaribacter sp. Hel1_33_78	1336804	S	11	1	12	0.00000
Flagellimonas sp. CMM7	2654676	S	26	4	30	0.00000
Flagellimonas oceani	2698672	S	16	1	17	0.00000
Capnocytophaga ochracea	1018	S	28	11	39	0.00000
Myroides albus	2562892	S	24	11	35	0.00000
Zobellia galactanivorans	63186	S	22	0	22	0.00000
Zobellia laminariae	248906	S	11	0	11	0.00000
Maribacter cobaltidurans	1178778	S	15	4	19	0.00000
Aureibaculum algae	2584122	S	26	1	27	0.00000
Formosa sp. Hel1_33_131	1336794	S	19	0	19	0.00000
Nonlabens spongiae	331648	S	22	2	24	0.00000
Mangrovimonas sp. YM274	3070660	S	21	1	22	0.00000
Abyssalbus ytuae	2926907	S	20	0	20	0.00000
Aquimarina sp. AD10	1714849	S	11	6	17	0.00000
Robiginitalea biformata	252307	S	20	0	20	0.00000
Olleya sp. YS	3028318	S	10	1	11	0.00000
Urechidicola croceus	1850246	S	17	3	20	0.00000
Kordia antarctica	1218801	S	13	0	13	0.00000
Siansivirga zeaxanthinifaciens	762954	S	14	1	15	0.00000
Chryseobacterium sp. HR92	3094839	S	159	54	213	0.00001
Chryseobacterium sp. G0186	2487064	S	21	5	26	0.00000
Chryseobacterium sp. POE27	3138177	S	12	1	13	0.00000
Chryseobacterium arthrosphaerae	651561	S	16	3	19	0.00000
Elizabethkingia anophelis	1117645	S	246	14	260	0.00001
Elizabethkingia ursingii	1756150	S	36	0	36	0.00000
Ornithobacterium rhinotracheale	28251	S	10	0	10	0.00000
Hymenobacter sp. NBH84	2596915	S	44	19	63	0.00000
Hymenobacter sp. PAMC 26628	1484118	S	21	9	30	0.00000
Hymenobacter sp. 5317J-9	2932250	S	15	7	22	0.00000
Hymenobacter sp. BRD67	2675877	S	11	10	21	0.00000
Hymenobacter sp. HDW8	2714932	S	11	25	36	0.00000
Hymenobacter canadensis	2999067	S	61	44	105	0.00000
Hymenobacter monticola	1705399	S	49	10	59	0.00000
Hymenobacter jejuensis	2502781	S	27	2	29	0.00000
Pontibacter kalidii	2592049	S	62	4	66	0.00000
Pontibacter russatus	2694929	S	36	2	38	0.00000
Pontibacter sp. SGAir0037	2571030	S	15	0	15	0.00000
Adhaeribacter radiodurans	2745197	S	48	2	50	0.00000
Runella slithyformis	106	S	144	9	153	0.00001
Runella sp. SP2	2268026	S	34	1	35	0.00000
Dyadobacter chenhuakuii	2909339	S	19	0	19	0.00000
Dyadobacter chenwenxiniae	2906456	S	15	0	15	0.00000
Fibrella aestuarina	651143	S	39	6	45	0.00000
Spirosoma rigui	564064	S	18	3	21	0.00000
Spirosoma rhododendri	2728024	S	18	4	22	0.00000
Spirosoma sp. SC4-14	3128900	S	12	2	14	0.00000
Rhodocytophaga rosea	2704465	S	33	0	33	0.00000
Persicobacter psychrovividus	387638	S	67	2	69	0.00000
Algoriphagus sp. Y33	2772483	S	12	0	12	0.00000
Aquiflexum balticum	280473	S	15	1	16	0.00000
Chryseolinea soli	2321403	S	17	0	17	0.00000
Imperialibacter roseus	1324217	S	11	0	11	0.00000
Arcticibacterium luteifluviistationis	1784714	S	15	0	15	0.00000
Cardinium endosymbiont of Encarsia pergandiella	249402	S	14	0	14	0.00000
Bernardetia litoralis	999	S	11	0	11	0.00000
Reichenbachiella agarivorans	2979464	S	12	0	12	0.00000
Sphingobacterium mizutaii	1010	S	120	5	125	0.00001
Sphingobacterium lactis	797291	S	36	1	37	0.00000
Sphingobacterium sp. WM	3031802	S	13	4	17	0.00000
Sphingobacterium psychroaquaticum	561061	S	26	0	26	0.00000
Sphingobacterium cellulitidis	1768011	S	18	8	26	0.00000
Sphingobacterium oryzagri	3025669	S	18	0	18	0.00000
Sphingobacterium spiritivorum	258	S	12	0	12	0.00000
Mucilaginibacter sp. 21P	2778902	S	35	0	35	0.00000
Mucilaginibacter sp. KACC 22063	3025666	S	22	0	22	0.00000
Mucilaginibacter sp. SMC90	2929803	S	13	1	14	0.00000
Mucilaginibacter sp. SJ	3029053	S	10	5	15	0.00000
Mucilaginibacter jinjuensis	1176721	S	46	0	46	0.00000
Pedobacter sp. PACM 27299	1727164	S	53	0	53	0.00000
Pedobacter heparinus	984	S	50	0	50	0.00000
Pedobacter schmidteae	2201271	S	20	0	20	0.00000
Arcticibacter sp. MXS-1	3341726	S	54	0	54	0.00000
Anseongella ginsenosidimutans	496056	S	19	0	19	0.00000
Solitalea canadensis	995	S	10	0	10	0.00000
Chitinophaga agri	2703787	S	21	21	42	0.00000
Chitinophaga horti	2920382	S	15	16	31	0.00000
Ferruginibacter lapsinanis	563172	S	21	22	43	0.00000
Candidatus Sulfidibacterium hydrothermale	2875962	S	23	0	23	0.00000
Rhodocaloribacter litoris	2558931	S	44	1	45	0.00000
Salinibacter ruber	146919	S	14	0	14	0.00000
Prosthecochloris sp. HL-130-GSB	1974213	S	10	12	22	0.00000
Melioribacter roseus	1134405	S	21	0	21	0.00000
Ignavibacterium sp.	2651167	S	12	0	12	0.00000
Gemmatirosa kalamazoonensis	861299	S	51	1	52	0.00000
Pseudogemmatithrix spongiicola	3062599	S	17	0	17	0.00000
Fibrobacter succinogenes	833	S	51	0	51	0.00000
Candidatus Cloacimonas acidaminovorans	456827	S	12	0	12	0.00000
Klebsiella pneumoniae	573	S	108513	1646853	1755366	0.07824
Klebsiella quasipneumoniae	1463165	S	9425	51776	61201	0.00273
Klebsiella variicola	244366	S	8115	57920	66035	0.00294
Klebsiella oxytoca	571	S	2479	898	3377	0.00015
Klebsiella michiganensis	1134687	S	722	1712	2434	0.00011
Klebsiella aerogenes	548	S	425	169	594	0.00003
Klebsiella africana	2489010	S	357	230	587	0.00003
Klebsiella quasivariicola	2026240	S	282	240	522	0.00002
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	23	146	169	0.00001
Klebsiella sp. PL-2018	2851540	S	19	51	70	0.00000
Klebsiella sp. BDA134-6	2787706	S	11	64	75	0.00000
Klebsiella huaxiensis	2153354	S	59	21	80	0.00000
Klebsiella grimontii	2058152	S	35	228	263	0.00001
Klebsiella electrica	1259973	S	22	6	28	0.00000
Raoultella ornithinolytica	54291	S	30	110	140	0.00001
Raoultella sp. HC6	2923366	S	24	8	32	0.00000
Raoultella planticola	575	S	19	8	27	0.00000
Raoultella terrigena	577	S	15	3	18	0.00000
Escherichia coli	562	S	73953	837832	911785	0.04064
Escherichia albertii	208962	S	444	184	628	0.00003
Escherichia fergusonii	564	S	300	279	579	0.00003
Escherichia marmotae	1499973	S	221	89	310	0.00001
Escherichia sp. E4742	2044467	S	130	71	201	0.00001
Escherichia sp. HH091_1A	2509662	S	18	252	270	0.00001
Escherichia sp. KS167_9B	2509666	S	11	281	292	0.00001
Citrobacter freundii	546	S	3558	33758	37316	0.00166
Citrobacter portucalensis	1639133	S	980	4879	5859	0.00026
Citrobacter braakii	57706	S	78	798	876	0.00004
Citrobacter werkmanii	67827	S	42	155	197	0.00001
Citrobacter cronae	1748967	S	16	251	267	0.00001
Citrobacter sedlakii	67826	S	10	27	37	0.00000
Citrobacter amalonaticus	35703	S	2556	21048	23604	0.00105
Citrobacter sp. R56	1573676	S	62	23	85	0.00000
Citrobacter sp. RHB35-C17	2742625	S	54	495	549	0.00002
Citrobacter sp. MGH 55	1439319	S	36	178	214	0.00001
Citrobacter sp. Y3	2716879	S	27	754	781	0.00003
Citrobacter sp. RHB25-C09	2742624	S	24	3	27	0.00000
Citrobacter sp. CFNIH10	1920110	S	13	157	170	0.00001
Citrobacter farmeri	67824	S	118	51	169	0.00001
Citrobacter meridianamericanus	2894201	S	40	28	68	0.00000
Citrobacter rodentium	67825	S	30	5	35	0.00000
Citrobacter koseri	545	S	23	47	70	0.00000
Citrobacter tructae	2562449	S	21	5	26	0.00000
Citrobacter enshiensis	2971264	S	21	6	27	0.00000
Citrobacter arsenatis	2546350	S	16	9	25	0.00000
Enterobacter hormaechei	158836	S	2324	27572	29896	0.00133
Enterobacter roggenkampii	1812935	S	326	234	560	0.00002
Enterobacter cloacae	550	S	274	166	440	0.00002
Enterobacter asburiae	61645	S	104	163	267	0.00001
Enterobacter ludwigii	299767	S	71	84	155	0.00001
Enterobacter cancerogenus	69218	S	55	12	67	0.00000
Enterobacter kobei	208224	S	22	42	64	0.00000
Enterobacter chuandaensis	2497875	S	15	6	21	0.00000
Enterobacter sp. JUb54	2724468	S	40	6	46	0.00000
Enterobacter sp. R4-368	1166130	S	37	59	96	0.00000
Enterobacter sp. DNB-S2	2720029	S	29	79	108	0.00000
Enterobacter sp. ECC-175	3116479	S	11	2	13	0.00000
Enterobacter sp. RHBSTW-00994	2742676	S	11	1	12	0.00000
Enterobacter mori	539813	S	49	15	64	0.00000
Enterobacter bugandensis	881260	S	38	34	72	0.00000
Enterobacter oligotrophicus	2478464	S	21	4	25	0.00000
Enterobacter wuhouensis	2529381	S	13	3	16	0.00000
Salmonella enterica	28901	S	1204	61737	62941	0.00281
Salmonella bongori	54736	S	15	2	17	0.00000
Shigella flexneri	623	S	310	40805	41115	0.00183
Shigella dysenteriae	622	S	217	2060	2277	0.00010
Shigella boydii	621	S	174	3838	4012	0.00018
Shigella sonnei	624	S	51	2547	2598	0.00012
Kosakonia sacchari	1158459	S	212	116	328	0.00001
Kosakonia radicincitans	283686	S	59	45	104	0.00000
Kosakonia pseudosacchari	1646340	S	31	10	41	0.00000
Kosakonia arachidis	551989	S	14	2	16	0.00000
Kosakonia cowanii	208223	S	10	3	13	0.00000
Cedecea neteri	158822	S	198	46	244	0.00001
Leclercia adecarboxylata	83655	S	71	86	157	0.00001
Leclercia pneumoniae	2815358	S	64	13	77	0.00000
Leclercia sp. 29361	2714951	S	10	4	14	0.00000
Pseudocitrobacter faecalis	1398493	S	102	26	128	0.00001
Kluyvera intermedia	61648	S	22	21	43	0.00000
Kluyvera cryocrescens	580	S	15	20	35	0.00000
Cronobacter dublinensis	413497	S	38	11	49	0.00000
Cronobacter sakazakii	28141	S	14	8	22	0.00000
Scandinavium goeteborgense	1851514	S	80	7	87	0.00000
[Enterobacter] lignolyticus	1334193	S	22	5	27	0.00000
Pluralibacter gergoviae	61647	S	14	2	16	0.00000
Lelliottia amnigena	61646	S	17	9	26	0.00000
Lelliottia sp. JS-SCA-14	3110110	S	10	5	15	0.00000
Atlantibacter hermannii	565	S	21	7	28	0.00000
Yokenella regensburgei	158877	S	25	4	29	0.00000
Blochmannia endosymbiont of Colobopsis nipponica	2681987	S	11	1	12	0.00000
Siccibacter colletis	1505757	S	20	2	22	0.00000
Trabulsiella odontotermitis	379893	S	16	3	19	0.00000
Shimwellia blattae	563	S	14	0	14	0.00000
Pseudescherichia vulneris	566	S	14	4	18	0.00000
Franconibacter daqui	2047724	S	11	1	12	0.00000
Mangrovibacter phragmitis	1691903	S	11	2	13	0.00000
Jejubacter calystegiae	2579935	S	10	0	10	0.00000
Proteus mirabilis	584	S	4177	715	4892	0.00022
Proteus terrae	1574161	S	21	80	101	0.00000
Xenorhabdus nematophila	628	S	101	6	107	0.00000
Xenorhabdus griffiniae	351672	S	15	4	19	0.00000
Xenorhabdus sp. TH1	3130166	S	11	4	15	0.00000
Providencia stuartii	588	S	16	43	59	0.00000
Providencia sp. PROV188	2939731	S	11	1	12	0.00000
Morganella morganii	582	S	50	3	53	0.00000
Arsenophonus sp. aPb	3041619	S	30	7	37	0.00000
Photorhabdus akhurstii	171438	S	11	0	11	0.00000
Serratia marcescens	615	S	1184	764	1948	0.00009
Serratia ureilytica	300181	S	66	43	109	0.00000
Serratia plymuthica	82996	S	53	5	58	0.00000
Serratia odorifera	618	S	21	1	22	0.00000
Serratia symbiotica	138074	S	15	0	15	0.00000
Yersinia mollaretii	33060	S	23	3	26	0.00000
Yersinia vastinensis	2890318	S	22	2	24	0.00000
Yersinia similis	367190	S	13	0	13	0.00000
Yersinia hibernica	2339259	S	16	2	18	0.00000
Nissabacter sp. SGAir0207	2126321	S	77	3	80	0.00000
Rahnella sikkimica	1805933	S	10	10	20	0.00000
Chania multitudinisentens	1639108	S	13	0	13	0.00000
Pantoea sp. At-9b	592316	S	21	2	23	0.00000
Pantoea sp. MBD-2R	3141540	S	14	10	24	0.00000
Pantoea cypripedii	55209	S	35	2	37	0.00000
Pantoea piersonii	2364647	S	20	4	24	0.00000
Pantoea agglomerans	549	S	18	10	28	0.00000
Pantoea ananatis	553	S	12	12	24	0.00000
Candidatus Pantoea soli	3098669	S	11	1	12	0.00000
Pantoea alfalfae	3074822	S	11	7	18	0.00000
Pantoea vagans	470934	S	10	10	20	0.00000
Erwinia rhapontici	55212	S	26	2	28	0.00000
Erwinia aphidicola	68334	S	17	2	19	0.00000
Erwinia pyrifoliae	79967	S	10	8	18	0.00000
Buchnera aphidicola	9	S	76	9	85	0.00000
Mixta gaviniae	665914	S	18	3	21	0.00000
Pectobacterium parmentieri	1905730	S	63	42	105	0.00000
Pectobacterium punjabense	2108399	S	34	30	64	0.00000
Pectobacterium araliae	3073862	S	15	9	24	0.00000
Pectobacterium versatile	2488639	S	15	49	64	0.00000
Brenneria izadpanahii	2722756	S	18	25	43	0.00000
Brenneria rubrifaciens	55213	S	11	3	14	0.00000
Dickeya fangzhongdai	1778540	S	13	22	35	0.00000
Edwardsiella ictaluri	67780	S	32	73	105	0.00000
Edwardsiella tarda	636	S	16	2	18	0.00000
Gallaecimonas sp. GXIMD4217	3131927	S	12	0	12	0.00000
Pseudomonas fluorescens	294	S	4338	542	4880	0.00022
Pseudomonas marginalis	298	S	4276	1411	5687	0.00025
Pseudomonas ogarae	1114970	S	13	1	14	0.00000
Pseudomonas poae	200451	S	11	0	11	0.00000
Pseudomonas orientalis	76758	S	11	0	11	0.00000
Pseudomonas veronii	76761	S	10	5	15	0.00000
Pseudomonas sp. Pc102	2678261	S	144	83	227	0.00001
Pseudomonas sp. p1(2021b)	2874628	S	66	21	87	0.00000
Pseudomonas sp. OIL-1	2706126	S	38	7	45	0.00000
Pseudomonas sp. QE6	3242491	S	38	35	73	0.00000
Pseudomonas sp. Q1-7	3020843	S	24	6	30	0.00000
Pseudomonas sp. HS6	2850559	S	20	11	31	0.00000
Pseudomonas sp. SO81	2983246	S	20	4	24	0.00000
Pseudomonas sp. B10	118613	S	19	12	31	0.00000
Pseudomonas sp. LG1E9	2219057	S	18	9	27	0.00000
Pseudomonas sp. MM211	2866808	S	17	1	18	0.00000
Pseudomonas sp. B21-056	2895495	S	16	6	22	0.00000
Pseudomonas sp. StFLB209	1028989	S	14	1	15	0.00000
Pseudomonas sp. TCU-HL1	1856685	S	14	3	17	0.00000
Pseudomonas sp. N3-W	2975049	S	13	3	16	0.00000
Pseudomonas sp. 273	75692	S	13	3	16	0.00000
Pseudomonas putida	303	S	55	28	83	0.00000
Pseudomonas mosselii	78327	S	20	3	23	0.00000
Pseudomonas syringae	317	S	47	28	75	0.00000
Pseudomonas aeruginosa	287	S	40	35	75	0.00000
Pseudomonas helvetica	3136738	S	48	8	56	0.00000
Pseudomonas entomophila	312306	S	42	3	45	0.00000
Pseudomonas lurida	244566	S	31	2	33	0.00000
Pseudomonas promysalinigenes	485898	S	29	1	30	0.00000
Pseudomonas huanghezhanensis	3002903	S	28	0	28	0.00000
Pseudomonas chlororaphis	587753	S	15	6	21	0.00000
Pseudomonas berkeleyensis	2726956	S	23	8	31	0.00000
Pseudomonas thivervalensis	86265	S	20	1	21	0.00000
Pseudomonas luteola	47886	S	19	1	20	0.00000
Pseudomonas argentinensis	289370	S	17	1	18	0.00000
Pseudomonas extremaustralis	359110	S	11	0	11	0.00000
Pseudomonas rhizosphaerae	216142	S	10	0	10	0.00000
Pseudomonas benzenivorans	556533	S	10	1	11	0.00000
Halopseudomonas aestusnigri	857252	S	24	11	35	0.00000
Halopseudomonas litoralis	797277	S	19	1	20	0.00000
Halopseudomonas phragmitis	1931241	S	16	0	16	0.00000
Stutzerimonas decontaminans	3022791	S	34	11	45	0.00000
Stutzerimonas stutzeri	316	S	14	8	22	0.00000
Ectopseudomonas mendocina	300	S	51	28	79	0.00000
Metapseudomonas lalkuanensis	2604832	S	11	2	13	0.00000
Aquipseudomonas alcaligenes	43263	S	27	7	34	0.00000
Entomomonas asaccharolytica	2785331	S	10	0	10	0.00000
Marinobacter sp. CA1	2817656	S	18	40	58	0.00000
Marinobacter salinus	1874317	S	13	92	105	0.00000
Pseudoalteromonas sp. Scap25	2589992	S	3337	364700	368037	0.01640
Pseudoalteromonas rubra	43658	S	26	0	26	0.00000
Pseudoalteromonas piratica	1348114	S	14	0	14	0.00000
Alteromonas naphthalenivorans	715451	S	83	4	87	0.00000
Alteromonas sp. RKMC-009	2267264	S	11	0	11	0.00000
Alteromonas macleodii	28108	S	10	0	10	0.00000
Salinimonas lutimaris	914153	S	29	0	29	0.00000
Salinimonas marina	2785918	S	13	0	13	0.00000
Paraglaciecola mesophila	197222	S	24	0	24	0.00000
Lacimicrobium alkaliphilum	1526571	S	23	0	23	0.00000
Agarivorans gilvus	680279	S	14	0	14	0.00000
Alkalimarinus alittae	2961619	S	17	0	17	0.00000
Saliniradius amylolyticus	2183582	S	20	0	20	0.00000
Shewanella psychrophila	225848	S	26	21	47	0.00000
Shewanella psychromarinicola	2487742	S	18	12	30	0.00000
Shewanella sp. Scap07	2589987	S	11	1	12	0.00000
Shewanella mesophila	2864208	S	13	9	22	0.00000
Shewanella oneidensis	70863	S	10	23	33	0.00000
Colwellia psychrerythraea	28229	S	20	0	20	0.00000
Litorilituus sediminis	718192	S	18	0	18	0.00000
Thalassomonas actiniarum	485447	S	13	0	13	0.00000
Ferrimonas balearica	44012	S	13	0	13	0.00000
Xanthomonas citri	346	S	1140	2985	4125	0.00018
Xanthomonas hortorum	56454	S	74	12	86	0.00000
Xanthomonas oryzae	347	S	44	3	47	0.00000
Xanthomonas translucens	343	S	35	41	76	0.00000
Xanthomonas campestris	339	S	31	4	35	0.00000
Xanthomonas sacchari	56458	S	27	2	29	0.00000
Stenotrophomonas maltophilia	40324	S	86	42	128	0.00001
Stenotrophomonas sp. CW117	2775920	S	18	62	80	0.00000
Stenotrophomonas acidaminiphila	128780	S	11	5	16	0.00000
Pseudoxanthomonas daejeonensis	266062	S	103	12	115	0.00001
Pseudoxanthomonas sp. JBR18	2969308	S	34	2	36	0.00000
Lysobacter sp. TY2-98	2290922	S	16	0	16	0.00000
Lysobacter enzymogenes	69	S	28	24	52	0.00000
Lysobacter capsici	435897	S	23	9	32	0.00000
Luteimonas sp. R10	3108176	S	19	0	19	0.00000
Luteimonas granuli	1176533	S	14	0	14	0.00000
Agrilutibacter solisilvae	2763317	S	11	0	11	0.00000
Dyella sp. BiH032	3075430	S	73	1	74	0.00000
Dyella sp. GSA-30	2994496	S	31	0	31	0.00000
Dyella japonica	231455	S	20	0	20	0.00000
Ahniella affigens	2021234	S	49	0	49	0.00000
Frateuria soli	1542730	S	35	1	36	0.00000
Luteibacter aegosomatis	2911537	S	24	0	24	0.00000
[Haemophilus] ducreyi	730	S	1768	88	1856	0.00008
Haemophilus parainfluenzae	729	S	133	14	147	0.00001
Glaesserella sp. 15-184	2030797	S	28	1	29	0.00000
Mannheimia bovis	2770636	S	14	0	14	0.00000
Avibacterium paragallinarum	728	S	13	0	13	0.00000
Mergibacter septicus	221402	S	11	0	11	0.00000
Gallibacterium salpingitidis	505341	S	10	0	10	0.00000
Acinetobacter baumannii	470	S	543	527	1070	0.00005
Acinetobacter sp. YH16056_T	2929514	S	27	4	31	0.00000
Acinetobacter sp. Z1	2953738	S	20	0	20	0.00000
Acinetobacter sp. ESL0695	2983215	S	16	0	16	0.00000
Acinetobacter haemolyticus	29430	S	12	1	13	0.00000
Alkanindiges sp. WGS2144	3366808	S	157	4	161	0.00001
Psychrobacter sanguinis	861445	S	12	0	12	0.00000
Moraxella nasicaprae	2904122	S	21	0	21	0.00000
Moraxella haemolytica	2904119	S	11	0	11	0.00000
Halomonas sp.	1486246	S	31	3	34	0.00000
Halomonas sp. SH5A2	2749040	S	31	3	34	0.00000
Halomonas sp. 3H	2952527	S	28	7	35	0.00000
Halomonas sp. GD1P12	2982691	S	22	24	46	0.00000
Halomonas sp. H10-59	2950874	S	16	11	27	0.00000
Halomonas sp. Y3	2956797	S	16	5	21	0.00000
Halomonas sp. THAF5a	2587844	S	13	3	16	0.00000
Halomonas sp. A40-4	2785909	S	10	2	12	0.00000
Halomonas huangheensis	1178482	S	50	2	52	0.00000
Halotalea alkalilenta	376489	S	100	7	107	0.00000
Salinicola endophyticus	1949083	S	34	18	52	0.00000
Salinicola sp. LHM	3065298	S	13	3	16	0.00000
Pistricoccus aurantiacus	1883414	S	48	3	51	0.00000
Kushneria marisflavi	157779	S	12	3	15	0.00000
Marinobacterium rhizophilum	420402	S	43	2	45	0.00000
Marinomonas pontica	264739	S	14	13	27	0.00000
Marinomonas sp. THO17	3149048	S	10	1	11	0.00000
Aliamphritea hakodatensis	2895352	S	14	0	14	0.00000
Alcanivorax sp.	1872427	S	32	13	45	0.00000
Endozoicomonas sp. SCSIO W0465	2918516	S	22	0	22	0.00000
Endozoicomonas sp. 4G	2872754	S	14	0	14	0.00000
Aeromonas hydrophila	644	S	52	10115	10167	0.00045
